No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime,year_month
1,2013,3,1,0,8.0,8.0,6.0,28.0,400.0,52.0,-0.7,1023.0,-18.8,0.0,NNW,4.4,Wanliu,2013-03-01 00:00:00,2013-03
2,2013,3,1,1,9.0,9.0,6.0,28.0,400.0,50.0,-1.1,1023.2,-18.2,0.0,N,4.7,Wanliu,2013-03-01 01:00:00,2013-03
3,2013,3,1,2,3.0,6.0,18.376480570616717,19.0,400.0,55.0,-1.1,1023.5,-18.2,0.0,NNW,5.6,Wanliu,2013-03-01 02:00:00,2013-03
4,2013,3,1,3,11.0,30.0,8.0,14.0,1319.3535125706724,48.87361389082744,-1.4,1024.5,-19.4,0.0,NW,3.1,Wanliu,2013-03-01 03:00:00,2013-03
5,2013,3,1,4,3.0,13.0,9.0,65.25878926575278,300.0,54.0,-2.0,1025.2,-19.5,0.0,N,2.0,Wanliu,2013-03-01 04:00:00,2013-03
6,2013,3,1,5,3.0,6.0,8.0,17.0,300.0,54.0,-2.2,1025.6,-19.6,0.0,N,3.7,Wanliu,2013-03-01 05:00:00,2013-03
7,2013,3,1,6,3.0,3.0,10.0,21.0,300.0,52.0,-2.6,1026.5,-19.1,0.0,NNE,2.5,Wanliu,2013-03-01 06:00:00,2013-03
8,2013,3,1,7,3.0,6.0,11.0,26.0,300.0,47.0,-1.6,1027.4,-19.1,0.0,NNW,3.8,Wanliu,2013-03-01 07:00:00,2013-03
9,2013,3,1,8,7.0,10.0,14.0,39.0,400.0,36.0,0.1,1028.3,-19.2,0.0,NNW,4.1,Wanliu,2013-03-01 08:00:00,2013-03
10,2013,3,1,9,3.0,9.0,12.0,31.0,400.0,46.0,1.2,1028.5,-19.3,0.0,N,2.6,Wanliu,2013-03-01 09:00:00,2013-03
11,2013,3,1,10,3.0,8.0,12.0,30.0,400.0,49.0,1.9,1028.2,-19.4,0.0,NNW,3.6,Wanliu,2013-03-01 10:00:00,2013-03
12,2013,3,1,11,3.0,6.0,10.0,26.0,300.0,54.0,2.9,1028.2,-20.5,0.0,N,3.7,Wanliu,2013-03-01 11:00:00,2013-03
13,2013,3,1,12,6.0,9.0,11.0,22.0,300.0,57.0,3.9,1027.3,-19.7,0.0,NNW,5.1,Wanliu,2013-03-01 12:00:00,2013-03
14,2013,3,1,13,10.0,18.0,10.0,20.0,300.0,60.0,5.3,1026.2,-19.3,0.0,NW,4.3,Wanliu,2013-03-01 13:00:00,2013-03
15,2013,3,1,14,10.0,15.0,10.0,22.0,300.0,60.0,6.0,1025.9,-19.6,0.0,NW,4.4,Wanliu,2013-03-01 14:00:00,2013-03
16,2013,3,1,15,7.0,15.0,9.0,22.0,300.0,61.0,6.2,1025.7,-18.6,0.0,NNE,2.8,Wanliu,2013-03-01 15:00:00,2013-03
17,2013,3,1,16,12.0,22.0,10.0,25.0,300.0,59.0,5.9,1025.6,-18.1,0.0,NNW,3.9,Wanliu,2013-03-01 16:00:00,2013-03
18,2013,3,1,17,13.0,23.0,10.0,26.0,300.0,58.0,4.3,1026.3,-18.7,0.0,NNE,2.8,Wanliu,2013-03-01 17:00:00,2013-03
19,2013,3,1,18,11.0,25.0,12.0,32.0,400.0,49.0,3.1,1027.4,-18.4,0.0,NNE,2.1,Wanliu,2013-03-01 18:00:00,2013-03
20,2013,3,1,19,11.0,17.0,13.0,53.0,600.0,30.0,2.3,1028.3,-18.4,0.0,N,2.8,Wanliu,2013-03-01 19:00:00,2013-03
21,2013,3,1,20,9.0,19.0,14.0,55.0,500.0,28.0,1.7,1029.1,-17.3,0.0,N,2.1,Wanliu,2013-03-01 20:00:00,2013-03
